TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Crimes,2019,2,17,11,15,27XX PANDORA ST,Hastings-Sunrise,496529.2284,5458910.211
Other Crimes,2019,6,12,1,0,27XX PARKER ST,Hastings-Sunrise,496583.7381,5458119.268
Other Crimes,2019,10,22,7,0,27XX TRINITY ST,Hastings-Sunrise,496438.4431,5459667.3
Other Crimes,2019,9,23,8,50,27XX TRINITY ST,Hastings-Sunrise,496438.9091,5459667.3
Other Crimes,2019,3,1,7,30,27XX TRIUMPH ST,Hastings-Sunrise,496506.8779,5459020.255
Other Crimes,2019,9,7,3,0,28XX ADANAC ST,Hastings-Sunrise,496725.2934,5458305.931
Other Crimes,2019,11,14,21,40,28XX E 2ND AVE,Hastings-Sunrise,496724.7579,5457298.73
Other Crimes,2019,11,23,20,0,28XX E 2ND AVE,Hastings-Sunrise,496753.886,5457298.775
Other Crimes,2019,11,24,2,36,28XX E 2ND AVE,Hastings-Sunrise,496753.886,5457298.775
Other Crimes,2019,8,14,10,1,28XX E 8TH AVE,Hastings-Sunrise,496589.3154,5456692.113
Other Crimes,2019,11,3,4,52,28XX E 8TH AVE,Hastings-Sunrise,496689.6882,5456691.561
Other Crimes,2019,5,10,7,20,28XX E GEORGIA ST,Hastings-Sunrise,496677.5563,5458387.855
Other Crimes,2019,12,9,18,33,28XX E PENDER ST,Hastings-Sunrise,496719.5364,5458611.675
Other Crimes,2019,11,17,15,0,28XX MCGILL ST,Hastings-Sunrise,496773.8582,5459564.731
Other Crimes,2019,10,17,19,27,28XX TRINITY ST,Hastings-Sunrise,496709.9456,5459666.977
Other Crimes,2019,3,18,22,0,28XX TRIUMPH ST,Hastings-Sunrise,496758.1664,5459009.86
Other Crimes,2019,8,18,10,45,28XX YALE ST,Hastings-Sunrise,496684.6809,5459770.206
Other Crimes,2019,10,17,7,8,28XX YALE ST,Hastings-Sunrise,496776.3399,5459770.156
Other Crimes,2019,11,5,0,0,29XX E 3RD AVE,Hastings-Sunrise,496878.4574,5457199.325
Other Crimes,2019,3,15,0,0,29XX E 6TH AVE,Hastings-Sunrise,496957.9466,5456882.095
Other Crimes,2019,7,19,8,5,29XX E 7TH AVE,Hastings-Sunrise,496941.3539,5456784.142
Other Crimes,2019,6,15,10,10,29XX E GEORGIA ST,Hastings-Sunrise,496904.9366,5458396.011
Other Crimes,2019,12,10,1,13,29XX GRANT ST,Hastings-Sunrise,496900.4687,5457617.998
Other Crimes,2019,12,3,20,0,29XX GRAVELEY ST,Hastings-Sunrise,496828.9544,5457513.059
Other Crimes,2019,6,16,0,13,29XX GRAVELEY ST,Hastings-Sunrise,496828.9874,5457522.203
Other Crimes,2019,12,16,17,14,29XX GRAVELEY ST,Hastings-Sunrise,496886.8523,5457521.994
Other Crimes,2019,7,7,3,0,29XX MCGILL ST,Hastings-Sunrise,496922.8019,5459565.866
Other Crimes,2019,12,7,22,20,29XX TURNER ST,Hastings-Sunrise,496869.6805,5458488.215
Other Crimes,2019,7,11,3,38,29XX VENABLES ST,Hastings-Sunrise,496923.3989,5458181.982
Other Crimes,2019,8,10,18,0,29XX VENABLES ST,Hastings-Sunrise,496927.0033,5458181.985
Other Crimes,2019,11,7,19,0,29XX WALL ST,Hastings-Sunrise,496888.3234,5459725.804
Other Crimes,2019,1,22,8,5,29XX YALE ST,Hastings-Sunrise,496806.2378,5459770.252
Other Crimes,2019,8,17,11,0,30XX ADANAC ST,Hastings-Sunrise,497074.5141,5458296.284
Other Crimes,2019,9,27,12,12,30XX E 1ST AVE,Hastings-Sunrise,497013.2575,5457397.94
Other Crimes,2019,11,30,11,47,30XX E 1ST AVE,Hastings-Sunrise,497100.2208,5457397.378
Other Crimes,2019,10,13,3,45,30XX E 7TH AVE,Hastings-Sunrise,497000.2542,5456783.66
